"PersonName";"RoleName";"TimeOfDay";"Content"
"Fabio Silva";"Cloud Architect";"7:30 AM";"Rise and shine! Who needs and alarm when you have two little human alarm clocks? My daughters have a perfect sense of timing (except on weekends) and a unique way of pulling me into the day with their cheerful I'm huuungry!! symphony"
"Fabio Silva";"Cloud Architect";"8:30 AM";"The morning hustle is real! My wife starts her day early so in the morning I'm on my own with the two gremlins. Prepare breakfasts, backpacks and deal with increasingly complicated hair style requests are part of morning routine. The car ride to school is short and I'm usually back at 8:50 where my very old and blind dog Nikita is waiting for her walk at the park."
"Fabio Silva";"Cloud Architect";"9:00 AM";"It's time to prepare the day. My calendar is blocked for 30 minutes to defend against unexpected meetings and last-minute calls. This is when I define and prioritize the tasks for the day. I take this time to check emails, Teams chats, JIRA/GitHub boards with my issues, and take a sneak peek at the latest blog posts and RSS feeds to keep up to date with what's new in the Azure Cloud world."
"Fabio Silva";"Cloud Architect";"10:00 AM";"Let the games meetings begin!! Teams and one-on-one meetings are very important to keep everyone in the loop and they usually happen at this time."
"Fabio Silva";"Cloud Architect";"11:00 AM";"Time to tackle the to-do list and GitHub/JIRA issues. Most of the time this means opening VS Code and dive into Terraform code but handling Draw.io and Powerpoint are also part of the job description."
"Fabio Silva";"Cloud Architect";"1:00 PM";"Lunch break. My cooking skills are inexistent, so this usually means heating some leftovers or order take out. The rest of the time I like to exercise a bit...by taking Nikita outside for another walk"
"Fabio Silva";"Cloud Architect";"2:00 PM";"Client meetings kick off. I put on my best ‘trust me, I’m an architect’ face and guide them through the cloud. We dive into current progress, discussing milestones achieved and the roadmap ahead. The team presents the latest architecture diagrams and outline the next steps for our cloud project."
"Fabio Silva";"Cloud Architect";"5:00 PM";"Hopefully the meetings are over by now. I sift through the notes to identify new issues or enhancements to be added to our backlog. While I'm at it I go through the list of pull requests to make some code reviews and check if my colleagues requested any changes on my PR's."
"Fabio Silva";"Cloud Architect";"6:30 PM";"Wrapping up, I send the last emails of the day. My wife picked up the girls from school and arrived 30 min ago, and they are already kicking the door demanding attention."
"Fabio Silva";"Cloud Architect";"7:00 PM";"Family time! The end of day rollercoaster begins. With the days getting bigger I can take the girls to the park and play for a few minutes before dinner (I don't know where they get so much energy!!). Bath time is always an adventure, but it works like magic to get them in the mood to go to sleep... But not without a bedtime story!"
"Fabio Silva";"Cloud Architect";"9:30 PM";"I take Nikita to her last walk of the day. In these more relaxed moments, I often remember something that I missed to write or do during the day so when I'm back home I make sure to update my to-do list. Time to join my wife and watch some TV Series that she selected... But only I end up watching because she falls asleep after 5 minutes."
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"7:30 AM";"Time to wake up! I have a hybrid alarm setup: there’s a wake-up sound (so peaceful like Morgan Freeman voice, swear) that starts gradually increasing volume at 7:20, and then there’s Caju, my dog. I try to snooze Caju once but without success, he always wins by insistence, get out of bed by 7:30 and it is time for the first walk."
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"8:00 AM";"Time for the first walk with Caju, is a dachshund, known as a ""sausage dog"". Given his energy and temperament, sometimes to excess, the neighbours call him the ""devil of Tasmania"", sometimes I fear the ""wurst"" but I prefer to say that he has a strong personality. But this is where the preparation for work begins, when I look at what I have planned to do during the day and my priorities."
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"8:30 AM";"Back home, it's time to have a good breakfast to start the day with energy, because as my grandmother used to say: ""those who aren't meant to eat, aren't meant to work"". During the breakfast, I like to listen to the latest news and just take time to ""real wake up"". Last stop before going to ""my office"" is the bathroom to take a shower, brush my teeth (hygiene matters!), and then we’re ready to get going by 9.00."
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"9:00 AM";"When I arrive at my office (~10 sec from bathroom distance), I start by reviewing my calendar, checking emails, Github board with my issues and catching up on any updates or messages from other team members and stakeholders. Also, I like to allocate time for research and continuous learning - staying up to date on new AWS features, products/services, and best practices. Remaining current with the latest trends and technologies helps those in this role to provide the best possible solutions to our clients."
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"9:30 AM";"Bearing in mind that today is Thursday, here at Contoso in the morning we have an allocated time between 9am and 12pm to study for a certification, focus on a solution to an issue (e.g. research, PoCs, design an architecture and/or implementation it by Terraform), or even prepare a demo to present tomorrow, Friday (the official day of the demos) where we share know-how with each other’s. Well, I've chosen to dedicate myself to studying, as I have planned an AWS Specialty Certification in a few months' time. Furthermore, I can study without any interruption as there are no meetings allowed during this period."
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"12:00 PM";"In order to take a break from studying, it's time to sync up with my colleagues and collaborate on addressing technical challenges. This involves reviewing implementation details, brainstorming ideas, and devising strategies to overcome any obstacles in the proper implementation of solutions for identified issues, whether they are internal or customer related. In my opinion, establishing open lines of communication with team members is crucial. By fostering an environment where ideas are welcomed and valued, we can collectively work towards a successful outcome for the project/issue at hand."
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"1:00 PM";"Lunchtime. Hot Dog? Nah, Caju he's not a big fan, reminds him of some relatives and we respect that. Depending on the weather, I might go for a quick walk with Caju to get some vitamin D or watch an episode of ""After Life"" with my future wife. As I'm in a wedding planning phase and I'm not very good at it (flower x, flower y, table centers, decoration, and more decoration... ahhh, do we need all of this? Really?) So, lately I've been spending more time on the sofa with her during lunch. Priorities... After lunch, it’s back to work."
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"2:00 PM";"Back to work, I check my Github board to see if there is a Pull Request (PR) from a colleague that needs my review/approval so that the necessary resources can be provisioned. After that, I take the opportunity to look at my to-do list and try to move forward with an issue with a higher priority (usually linked to the area of governance or network) and work on it."
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"3:00 PM";"Time to have a call with a customer to provide updates, gather feedback, and discuss any changes or issues with our implementation. Specifically, they've requested a solution to block access to a specific set of IPs and seek a consultative opinion regarding the integration of two AWS services. In our approach, we encounter varying levels of complexity in customer requirements. Some are straightforward and can be addressed promptly during the call. However, for more intricate demands, we engage in Proof of Concepts (PoCs) within our labs to thoroughly test the proposed solutions. Only upon successful validation in the PoCs do we present the finalized solution to the customer."
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"5:00 PM";"Time to dedicate to the presentation at Cloud Summit, an exclusive annual event, focused on sharing experiences and boosting interest in public cloud adoption and its impact on business transformation. In this role, knowledge sharing is integral, and it represents a valuable opportunity to learn from your peers. This year, me and one of my AWS partners are going to talk about how automation and governance together help us in the AWS account creation process."
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"6:00 PM";"Time to close the laptop and shake the skeleton. But not too hard, because it might break something given my physical condition. However, I try to keep active and once or twice a week I dedicate my evenings to exercise: football or padel tennis with friends. Today is padel day and for me the physical activity, social interaction, and focus required in the game its essential because help me distract from work, daily worries and promote relaxation. To be honest, it's my break point!"
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"8:00 PM";"After coming home from the game, I do some stretching, have a quick snack, and take a shower. After the shower, my fiancé and I prepare dinner. Well, so we don't play hunger games, she makes the dinner and I do the rest. Balance above all"
"Rogerio Alcobaia";"AWS Cloud Engineer / Architect";"10:00 PM";"After dinner, time for the last walk with Caju, another moment to reflect on the day, which allows me to better organize my ideas, update my to-do list, and prepare for the next day in terms of tasks. Also time to relax after the walk and join my fiancé to watch some TV series or movie in some streaming platform… but normally we take so long to choose that one of us falls asleep, and we know it's time to go to sleep. If there's energy, possibly... forget it, I'll fall asleep too. Good night!"
